# ----------------------------------------
# All Web Site Data
# Traffic by Individual Pages
# 20220901-20220930
# ----------------------------------------

Page,Users,Sessions,Pageviews
/docs/g2-bombora-integration,17,16,41
/docs/overview-g2-hubspot-lists,17,12,50
/docs/build-6sense-segments-using-g2-buyer-intent,16,18,34
/docs/salesforce-crm-webhook,16,9,31
/g2/docs/salesforce-crm-webhook,16,6,47
/docs/create-hubspot-workflows-with-g2-data,15,21,64
/docs/g2-leads-webhooks,15,8,23
/docs/slack,15,7,25
/docs/what-is-covered-in-this-integration-guide-and-what-is-not-1,15,21,51
/docs/delighted,14,4,35
/docs/g2-salesforce-tabs,14,4,66
/docs/g2-api-information,13,5,24
/g2/docs/basics-of-the-g2-crm-connector-for-salesforce,13,10,36
/g2/docs/g2-buyer-intent-data-hubspot,13,4,51
/docs/buyer-engagement-score,12,19,44
/docs/example-notification-2-send-emails-to-salesforce-lead-owners-for-g2-buyer-intent-signals,11,2,15
/docs/g2-visualforce-page,11,11,22
/docs/insert-a-g2-star-rating-widget-in-a-hubspot-email,11,8,19
/docs/videos,11,13,21
/docs/g2-reviews,10,2,17
/docs/release-notes,10,29,54
/docs/understanding-example-notifications,10,7,18
/g2/docs/example-list-1-companies-with-recent-g2-buyer-intent-data,10,4,24
/g2/en,10,47,84
/docs/ethics-values,9,8,24
/docs/g2-events,9,3,41
/docs/prompt-guidelines,9,8,22
/docs/use-g2-built-audience-segments-in-linkedin-campaigns,9,3,14
/g2/docs/g2-custom-objects-and-fields,9,1,50
/g2/docs/implementation-in-app-g2-review,9,4,34
/g2/docs/product-information,9,1,10
/docs/basics-of-the-g2-medallia-integration,8,4,12
/docs/g2-buyer-intent-data-marketo,8,9,17
/docs/g2-custom-objects-and-fields,8,6,24
/g2/docs/g2-leads-webhooks,8,12,29
/docs/example-notification-1-send-email-to-salesforce-account-owners-when-products-are-being-compared,7,8,24
/docs/example-report-1-g2-buyer-intent-activity-by-salesforce-account,7,7,16
/docs/preparing-for-implementation-1,7,2,25
/docs/profile-activity,7,2,22
/g2/docs/mapping-g2-buyer-intent-data-to-salesforce-accounts-and-leads,7,11,27
/g2/docs/marketo-emails-with-g2-marketing-content,7,0,9
/docs/adding-g2-data-to-salesforce-page-layouts,6,4,29
/docs/create-marketo-smart-campaigns-with-g2-data,6,5,13
/docs/example-list-1-companies-with-recent-g2-buyer-intent-data,6,7,15
/docs/how-g2-buyer-intent-data-auto-maps-to-6sense,6,5,12
/docs/list-of-g2-custom-objects,6,4,13
/docs/recommended-g2-related-list-column-selections-for-page-layouts,6,6,13
/docs/references-from-reviews,6,2,9
/g2/docs/custom-questions,6,2,9
/g2/docs/leads,6,3,9
/docs/build-custom-salesforce-reports-with-g2-data,5,4,9
/docs/example-list-5-companies-assessing-product-alternatives-recently,5,3,10
/docs/g2-folders,5,1,8
/docs/g2-salesforce-configuration-assistant,5,2,14
/docs/hubspot-score-and-g2-data,5,3,10
/docs/insert-a-g2-star-rating-widget-in-a-hubspot-website-page-or-landing-page,5,4,6
/docs/marketo-programs-with-g2-data-and-marketing-content,5,2,10
/docs/overview-6,5,2,9
/g2/docs/delighted,5,6,12
/g2/docs/g2-events,5,1,21
/g2/docs/g2-salesforce-tabs,5,0,7
/docs/canva,4,2,9
/docs/documents,4,2,10
/docs/example-list-3-companies-that-have-viewed-your-g2-product-profile-page-recently,4,5,11
/docs/example-list-4-companies-making-direct-product-comparisons-recently,4,1,6
/docs/example-workflow-2-email-campaigns-to-target-specific-g2-buyer-intent-activity,4,6,15
/docs/example-workflow-3-notify-hubspot-company-owners-about-g2-buyer-intent-activity,4,0,6
/docs/g2-buyer-intent-data-pipedrive,4,1,9
/docs/g2-reference-builder,4,3,10
/docs/insert-a-g2-badge-in-a-hubspot-website-page-or-landing-page,4,2,7
/docs/troubleshooting-and-support-1,4,2,6
/g2/docs/campaign-dashboard,4,0,6
/g2/docs/g2-6sense-implementation,4,7,16
/g2/docs/g2-badges,4,1,5
/g2/docs/g2-visiting-organizations,4,0,12
/docs/en/campaign-dashboard,3,2,6
/docs/example-list-6-companies-researching-your-product-category-recently,3,0,4
/docs/example-report-5-g2-buyer-intent-data-organized-by-salesforce-account-owner,3,2,8
/docs/example-workflow-1-assign-a-company-as-a-hubspot-target-account-based-on-g2-buyer-intent-activity,3,3,5
/docs/g2-custom-report-types,3,1,4
/docs/g2-medallia-implementation,3,1,7
/docs/g2-pipedrive-implementation,3,4,7
/docs/g2-visiting-organizations,3,1,5
/docs/hubspot-reports-g2-data,3,2,6
/docs/linkedin-matched-audiences,3,0,0
/docs/marketo-smart-campaigns-with-g2-data,3,1,15
/docs/report-library,3,1,3
/docs/whats-covered-in-this-integration-guide-and-whats-not-1,3,1,9
/g2/docs,3,7,25
/g2/docs/example-list-2-companies-with-g2-buyer-intent-data-and-no-contacts,3,0,3
/g2/docs/example-list-3-companies-that-have-viewed-your-g2-product-profile-page-recently,3,0,3
/g2/docs/g2-buyer-intent-data-pipedrive,3,3,5
/g2/docs/g2-hubspot-implementation,3,0,4
/g2/docs/g2-reference-builder,3,0,4
/g2/docs/marketo-landing-pages-with-g2-marketing-content,3,0,3
/docs/example-list-9-associated-companies-making-direct-product-comparisons-recently,2,2,6
/docs/example-notification-3-send-email-to-customer-success-team-for-g2-reviews-with-low-scores,2,0,2
/docs/example-workflow-4-create-tasks-for-company-owners-based-on-g2-buyer-intent-activity,2,2,5
/docs/hubspot-website-and-landing-pages-with-g2-marketing-content,2,0,3
/docs/implementation-in-app-g2-review?mkt_tok=NzE0LVpVRi02ODMAAAGEFM_v0K0cGEX9oxqm0QjSlW9wYRO5UnGcsB11dFhLJtITF8b8GRfuTIc_Rpe0nPO48ceDVDJUDAhDsi9-b6gSPn3WayJ8xso0dKRBwqw,2,2,4
/docs/marketo-emails-with-g2-marketing-content,2,1,3
/docs/marketo-lists-with-g2-data,2,1,2
/docs/prompt-guidelines-1,2,2,6
/docs/salesforce-tasks,2,2,6
/docs/troubleshooting-and-support-4,2,1,3
/g2/docs/basics-of-the-g2-marketo-integration,2,3,5
/g2/docs/custom-fields,2,0,2
/g2/docs/example-list-7-associated-companies-with-several-recent-g2-buyer-intent-signals,2,0,4
/g2/docs/example-notification-1-send-email-to-salesforce-account-owners-when-products-are-being-compared,2,0,4
/g2/docs/example-workflow-1-assign-a-company-as-a-hubspot-target-account-based-on-g2-buyer-intent-activity,2,0,16
/g2/docs/example-workflow-7-use-a-contact-based-active-list-for-email-campaigns,2,1,4
/g2/docs/g2-folders,2,0,4
/g2/docs/g2-reviews,2,0,6
/g2/docs/hubspot-emails-with-g2-marketing-content,2,0,8
/g2/docs/prompt-guidelines,2,1,2
/g2/docs/review-campaigns,2,0,4
/g2/docs/salesforce-dashboards,2,0,2
/docs/buyer-intent#utm_source=my.G2&utm_medium=web&utm_campaign=buyer-intent,1,1,1
/docs/create-salesforce-dashboards,1,1,2
/docs/en/basics-of-in-app-review-prompts-1,1,0,1
/docs/en/buyer-intent,1,0,1
/docs/en/crowd-quotes,1,0,2
/docs/en/documents,1,0,1
/docs/en/g2-pendo-implementation,1,0,2
/docs/en/report-library,1,0,1
/docs/en/review-campaigns,1,0,2
/docs/en/widgets,1,0,1
/docs/example-list-2-associated-companies-researching-your-product-profile,1,0,4
/docs/example-notification-4-chatter-notification-for-salesforce-account-owners-when-a-g2-comparison-page-is-viewed,1,0,2
/docs/example-report-3-g2-visiting-organizations-information,1,0,1
/docs/example-report-9-g2-review-questions-and-answers,1,1,2
/docs/example-smart-campaign-2-notify-marketo-account-owners-about-first-time-g2-buyer-intent-activity,1,0,2
/docs/example-workflow-7-use-a-contact-based-active-list-for-email-campaigns,1,1,2
/docs/insert-a-g2-star-rating-widget-in-a-marketo-landing-page-template,1,1,2
/docs/lead-page-layouts,1,0,2
/docs/leads?=,1,1,1
/docs/marketo-landing-pages-with-g2-marketing-content,1,1,2
/docs/opportunity-page-layouts,1,2,3
/docs/release-notes?mkt_tok=NzE0LVpVRi02ODMAAAGHHpWrv6nPXRGdicaFx5oqvFs1f7LbKmeyT99K1GlCcEsRAfwj99LfFkdU0Ng7tcnkr711V32ziKuK9SYjSg,1,1,1
/docs/release-notes?mkt_tok=NzE0LVpVRi02ODMAAAGHHpWrv6vbyNFrwH13ZFdkEKrylvHegq6wbGiodQUt4HhW7gf5cv1u-a6fJpVHD6eChLymRMKbn_ay4aSFDQ,1,1,2
/docs/release-notes?mkt_tok=NzE0LVpVRi02ODMAAAGHHX3o573QtViEcn_-at0xXgOUtJ2Y2CZEEMfk9YfTplqsu0Hn5sD1Cbd0rydz1JiAu46l1UUZi_xX9NmZXQ,1,1,1
/docs/release-notes?mkt_tok=NzE0LVpVRi02ODMAAAGHKUgN6BWp_fsmWXLUzP3RAqgDQUGg-OFykT7FjI_tVDDZwlow3-wBJZxDRHBZ9X5TYaxLEkiRnHw8C05XIQQE7T79rNab1bI36uxehuuv,1,0,1
/docs/release-notes?mkt_tok=NzE0LVpVRi02ODMAAAGHKUgN6FgzI7f8kJAau13jrmPFtJvfF0XdKykZHB6hXya3rxLJNsLyz_8YZ9hE55_CkkAOULE7MZ6HfmzHXAynYPDvJpuRpjzp7exseVL2,1,1,2
/docs/release-notes?mkt_tok=NzE0LVpVRi02ODMAAAGHKUgN6JsSciCG6PxECr5RToLuHE6OC4Xd88UUjowl8-xUCk8SLQjbdDzY8vU3dUJUF7GXmyGPTAPylf5RWYC0qgclTW5ZNc8dfFxaTynR,1,1,1
/docs/release-notes?mkt_tok=NzE0LVpVRi02ODMAAAGHKUz3w4C8W4x6fbs1DKhl5zh2rtHhjPpHAMq-CiDNk8KFiWgWfm5iv1hlLPgb1n0CJpXZkHQmjT3GSBUnY0F7ukO98XZse0nSQ-YHISs9,1,1,1
/docs/salesforce-dashboards,1,0,1
/docs/search?query=add software&searchType=articles,1,0,1
/docs/search?query=campaign link&searchType=articles,1,0,1
/docs/search?query=change name&searchType=articles,1,0,1
/docs/search?query=create tags&searchType=articles,1,0,1
/docs/search?query=data requirements&searchType=articles,1,0,1
/docs/search?query=g2 university&searchType=articles,1,1,2
/docs/search?query=GDPR&searchType=articles,1,0,1
/docs/search?query=how to update seller details&searchType=articles,1,0,1
/docs/search?query=intent data&searchType=articles,1,0,1
/docs/search?query=landing pages&searchType=articles,1,0,2
/docs/search?query=leave review&searchType=articles,1,0,1
/docs/search?query=NPS tool&searchType=articles,1,0,1
/docs/search?query=nps&searchType=articles,1,0,1
/docs/search?query=post-review prompt&searchType=articles,1,0,1
/docs/search?query=remove a review&searchType=articles,1,0,1
/docs/search?query=remove review how to&searchType=articles,1,0,1
/docs/search?query=reports&searchType=articles,1,0,1
/docs/search?query=salesforce lead&searchType=articles,1,0,1
/docs/search?query=scoring methodology&searchType=articles,1,0,1
/docs/search?query=share review&searchType=articles,1,0,1
/docs/search?query=sponsored content&searchType=articles,1,1,1
/docs/search?query=user permission&searchType=articles,1,0,1
/docs/search?query=users&searchType=articles,1,0,1
/docs/search?query=website&searchType=articles,1,0,1
/docs/video-walkthrough-for-g2-visualforce-page-and-related-lists,1,0,1
/g2/docs/about-g2-integrations,1,1,4
/g2/docs/basics-of-the-g2-hubspot-integration,1,1,4
/g2/docs/buyer-engagement-score,1,1,2
/g2/docs/example-list-4-companies-making-direct-product-comparisons-recently,1,0,1
/g2/docs/example-list-4-product-comparisons-with-a-specific-competitor-product,1,0,12
/g2/docs/example-list-5-companies-assessing-product-alternatives-recently,1,0,1
/g2/docs/example-list-6-associated-companies-researching-your-product-category,1,0,4
/g2/docs/example-report-1-g2-buyer-intent-activity-by-salesforce-account,1,0,1
/g2/docs/example-report-4-product-comparisons,1,0,1
/g2/docs/example-report-5-g2-buyer-intent-data-organized-by-salesforce-account-owner,1,0,1
/g2/docs/example-smart-campaign-1-email-campaigns-to-target-specific-g2-buyer-intent-activity,1,0,3
/g2/docs/example-workflow-2-email-campaigns-to-target-specific-g2-buyer-intent-activity,1,0,1
/g2/docs/example-workflow-3-notify-hubspot-company-owners-about-g2-buyer-intent-activity,1,0,1
/g2/docs/example-workflow-4-create-tasks-for-company-owners-based-on-g2-buyer-intent-activity,1,0,2
/g2/docs/example-workflow-5-perform-sales-qualification-based-on-g2-buyer-intent-activity,1,1,2
/g2/docs/example-workflow-6-assign-a-customer-profile-tier-based-on-g2-buyer-intent-activity,1,0,1
/g2/docs/g2-api-information,1,1,2
/g2/docs/g2-review-attribution,1,0,1
/g2/docs/insert-a-g2-star-rating-widget-in-a-hubspot-email,1,0,8
/g2/docs/insert-a-g2-star-rating-widget-in-a-marketo-landing-page-template,1,0,1
/g2/docs/overview-g2-hubspot-lists,1,1,6
/g2/docs/reference-pages,1,0,2
/g2/docs/troubleshooting-and-support-1,1,0,1
,"4,837","5,891","15,058"

Day Index,Users
9/1/22,175
9/2/22,118
9/3/22,11
9/4/22,18
9/5/22,86
9/6/22,213
9/7/22,211
9/8/22,182
9/9/22,133
9/10/22,8
9/11/22,22
9/12/22,202
9/13/22,184
9/14/22,216
9/15/22,220
9/16/22,140
9/17/22,11
9/18/22,38
9/19/22,182
9/20/22,230
9/21/22,211
9/22/22,241
9/23/22,150
9/24/22,13
9/25/22,21
9/26/22,179
9/27/22,214
9/28/22,230
9/29/22,267
9/30/22,146
,"4,272"
