# ----------------------------------------
# All Web Site Data
# Traffic by Individual Pages
# 20220801-20220831
# ----------------------------------------

Page,Users,Sessions,Pageviews
/docs/example-notification-2-send-emails-to-salesforce-lead-owners-for-g2-buyer-intent-signals,7,5,9
/docs/example-notification-4-chatter-notification-for-salesforce-account-owners-when-a-g2-comparison-page-is-viewed,7,5,16
/docs/g2-medallia-implementation,7,6,17
/docs/leads#utm_medium=video&utm_campaign=chili+piper,7,2,8
/docs/list-of-g2-custom-objects,7,3,13
/docs/salesforce-dashboards,7,6,10
/g2/docs/example-workflow-1-assign-a-company-as-a-hubspot-target-account-based-on-g2-buyer-intent-activity,7,0,13
/docs/ethics-values,6,6,11
/docs/example-report-8-track-customer-satisfaction,6,0,8
/docs/g2-pipedrive-implementation,6,4,27
/docs/hubspot-reports-g2-data,6,0,6
/docs/insert-a-g2-badge-in-a-hubspot-email,6,2,12
/docs/insert-a-g2-badge-in-a-hubspot-website-page-or-landing-page,6,4,13
/docs/troubleshooting-and-support-1,6,5,8
/g2/docs/example-workflow-2-email-campaigns-to-target-specific-g2-buyer-intent-activity,6,7,19
/docs/custom-fields,5,1,13
/docs/example-list-3-companies-that-have-viewed-your-g2-product-profile-page-recently,5,7,9
/docs/example-report-9-g2-review-questions-and-answers,5,0,9
/docs/g2-folders,5,2,8
/docs/preparing-for-implementation-1,5,3,10
/docs/profile-activity,5,1,8
/docs/recommended-g2-related-list-column-selections-for-page-layouts,5,4,13
/docs/report-library,5,0,13
/g2/docs,5,5,14
/g2/docs/example-report-1-g2-buyer-intent-activity-by-salesforce-account,5,2,6
/g2/docs/example-workflow-3-notify-hubspot-company-owners-about-g2-buyer-intent-activity,5,0,6
/g2/docs/g2-events,5,0,22
/docs/example-notification-1-send-email-to-salesforce-account-owners-when-products-are-being-compared,4,2,5
/docs/g2-buyer-intent-data-pipedrive,4,0,6
/docs/video-walkthrough-for-g2-visualforce-page-and-related-lists,4,4,10
/g2/docs/campaign-dashboard,4,0,4
/g2/docs/canva,4,4,6
/g2/docs/custom-questions,4,2,7
/g2/docs/example-list-1-associated-companies-with-several-g2-buyer-intent-signals,4,1,16
/g2/docs/example-list-1-companies-with-recent-g2-buyer-intent-data,4,1,20
/g2/docs/example-report-7-find-mapped-salesforce-accounts-with-many-g2-events,4,0,10
/g2/docs/g2-folders,4,0,7
/g2/docs/list-of-g2-custom-objects,4,0,13
/g2/docs/marketo-emails-with-g2-marketing-content,4,0,9
/g2/docs/prompt-guidelines,4,3,11
/docs/account-page-layouts,3,2,7
/docs/example-workflow-2-email-campaigns-to-target-specific-g2-buyer-intent-activity,3,3,4
/docs/g2-review-attribution,3,2,9
/docs/g2-visiting-organizations,3,3,16
/docs/hubspot-emails-with-g2-marketing-content,3,1,7
/docs/marketo-landing-pages-with-g2-marketing-content,3,0,14
/docs/marketo-smart-campaigns-with-g2-data,3,2,4
/docs/search?query=category&searchType=articles,3,0,4
/docs/troubleshooting-and-support-3,3,0,11
/docs/vidyard,3,0,26
/g2/docs/basics-of-the-g2-hubspot-integration,3,1,7
/g2/docs/buyer-engagement-score,3,7,27
/g2/docs/example-notification-2-send-emails-to-salesforce-lead-owners-for-g2-buyer-intent-signals,3,1,4
/g2/docs/example-notification-3-send-email-to-customer-success-team-for-g2-reviews-with-low-scores,3,0,3
/g2/docs/example-report-4-product-comparisons,3,0,3
/g2/docs/example-report-5-g2-buyer-intent-data-organized-by-salesforce-account-owner,3,0,3
/g2/docs/example-report-6-mapped-salesforce-accounts-with-opportunities,3,0,3
/g2/docs/g2-badges,3,1,3
/g2/docs/g2-salesforce-tabs,3,0,6
/g2/docs/marketo-landing-pages-with-g2-marketing-content,3,0,10
/g2/docs/product-information,3,0,3
/g2/docs/zoominfo?amp/;utm_medium=web&amp/;utm_campaign=mbbzvaab,3,3,3
/docs/create-marketo-lists-with-g2-data,2,2,15
/docs/example-list-12-companies-with-a-buyer-from-a-specific-location,2,2,5
/docs/example-list-4-companies-making-direct-product-comparisons-recently,2,0,3
/docs/example-list-5-associated-companies-assessing-product-alternatives,2,0,4
/docs/example-list-6-associated-companies-researching-your-product-category,2,0,2
/docs/example-report-3-g2-visiting-organizations-information,2,1,2
/docs/example-workflow-1-assign-a-company-as-a-hubspot-target-account-based-on-g2-buyer-intent-activity,2,2,14
/docs/example-workflow-3-notify-hubspot-company-owners-about-g2-buyer-intent-activity,2,1,3
/docs/example-workflow-6-assign-a-customer-profile-tier-based-on-g2-buyer-intent-activity,2,2,4
/docs/example-workflow-7-use-a-contact-based-active-list-for-email-campaigns,2,0,4
/docs/g2-events,2,1,7
/docs/g2-reference-builder,2,2,5
/docs/hubspot-score-and-g2-data,2,2,4
/docs/insert-a-g2-badge-in-a-marketo-landing-page-template,2,0,6
/docs/insert-a-g2-grid-widget-in-a-hubspot-website-page-or-landing-page,2,1,3
/docs/lead-page-layouts,2,0,5
/docs/marketo-programs-with-g2-data-and-marketing-content,2,0,7
/docs/overview-g2-marketo-lists,2,0,2
/docs/search,2,0,2
/g2,2,1,2
/g2/docs/example-list-3-associated-companies-making-direct-product-comparisons,2,1,5
/g2/docs/example-report-2-all-leads-and-the-related-g2-events,2,1,3
/g2/docs/g2-medallia-implementation,2,4,8
/g2/docs/g2-visiting-organizations,2,1,10
/g2/docs/hubspot-emails-with-g2-marketing-content,2,1,2
/g2/docs/leads?_x_tr_sl=auto&_x_tr_tl=sk&_x_tr_hl=sk&_x_tr_pto=wapp,2,0,2
/g2/docs/salesforce-dashboards,2,1,6
/Delighted - Reviews integrations.html,1,1,10
/docs/basics-of-the-g2-pendo-integration?fbclid=IwAR01bs8o0fVmTh0o358DnTQ2EbhaMH4TO-Del4oQNHKuG25oDYhVLExjYmA,1,1,2
/docs/documents,1,0,2
/docs/en/example-notification-2-send-emails-to-salesforce-lead-owners-for-g2-buyer-intent-signals,1,0,1
/docs/example-list-1-companies-with-recent-g2-buyer-intent-data,1,0,3
/docs/example-list-2-companies-with-g2-buyer-intent-data-and-no-contacts,1,0,11
/docs/example-list-9-associated-companies-making-direct-product-comparisons-recently,1,1,8
/docs/example-notification-3-send-email-to-customer-success-team-for-g2-reviews-with-low-scores,1,0,1
/docs/example-report-10-salesforce-accounts-without-g2-reviews,1,0,1
/docs/example-report-4-product-comparisons,1,1,3
/docs/example-smart-campaign-3-perform-sales-qualification-based-on-g2-buyer-intent-activity,1,0,2
/docs/example-workflow-5-perform-sales-qualification-based-on-g2-buyer-intent-activity,1,0,1
/docs/g2-marketo-implementation#utm_medium=video&utm_campaign=marketo,1,1,3
/docs/hubspot-website-and-landing-pages-with-g2-marketing-content,1,0,6
/docs/insert-a-g2-grid-widget-in-a-marketo-landing-page-template,1,0,8
/docs/insert-a-g2-star-rating-widget-in-a-marketo-landing-page-template,1,0,1
/docs/mapping-g2-buyer-intent-data-to-salesforce-accounts-and-leads?mkt_tok=NzE0LVpVRi02ODMAAAGFVL5zn4Qr5VttSaAiTz3p8wHmeWL_BONaHYZAtR6NrudKhG1cRO2hMl47Lh-ZUPEc8edGGBE2MrO7HKLSzHXycMm_Jsxo7XXlkSghdTZy,1,1,2
/docs/marketo-lists-with-g2-data,1,1,1
/docs/prompt-guidelines-1,1,0,1
/docs/release-notes?mkt_tok=NzE0LVpVRi02ODMAAAGF3_HKwbuI7IqSKgVy5ZAlwqeUNRMOG54lzbdBqzWvZgKZk6_f1y76i1q6RI2h4rpDUJAFd4pAF6KwK1DJTP8xr0OSH1mVDYfm1uOsgc_9,1,1,1
/docs/release-notes?mkt_tok=NzE0LVpVRi02ODMAAAGF3_HKwdrcK9Ts3XzlxeZj_9YXfTzpCMk8VVBo2dAQzmiNrP_CgSUDpY-jUFQeC8bCqs0sgfDlMxQtySYRz8z9g5YTs6uOIlG86M_VP2In,1,1,2
/docs/release-notes?mkt_tok=NzE0LVpVRi02ODMAAAGF3_HKwV91SmYp9ArCJ_jQIlZz-ABgaGsZFr7b6G0qzPvsucJv_vE8h8SuWlxcf9UZxktW5jFl8jGf-0b1aXH0OdXT6IYcCO7ev7f48jJW,1,1,2
/docs/release-notes?mkt_tok=NzE0LVpVRi02ODMAAAGF3-flBDHIAFODL3nI4qno7py1fOPZ9bsxZ_o0mfKXUEPc6vkUQ_gji2tyaR_M3BTKDZ_dfLvGhG15K-MELBOY7nGs6E9uH3emin4Encto,1,1,2
/docs/release-notes?mkt_tok=NzE0LVpVRi02ODMAAAGFVL4xpsROubELOjLiCUYwzX-SgkJP7lOj_cUvw_uazz0dxeGgZMIiL5AHPNgUJISU-MoO8vDh9hBnNGyUeILQ0eZwjdVei2HfaNBYdCE6,1,1,2
/docs/release-notes?mkt_tok=NzE0LVpVRi02ODMAAAGGadl27Amv-Q30mvuQKDKkfxKO6HZZJ_9vWuWBe2agCSud3KWAPwBuD7WeTc3kDXVhDBEMovE5IujxdP3psQ,1,1,2
/docs/release-notes?mkt_tok=NzE0LVpVRi02ODMAAAGGb7bCyLccHQmYNtNj1ZFmkQKG12I427QbGRIRuaiHuaOUDT6fd-HL_WDAM5lAb4bNSda5rALY5UWquRp_RmonKn0NuV6J_jFMHGbhoBoa,1,1,1
/docs/release-notes?mkt_tok=NzE0LVpVRi02ODMAAAGGb7bLSKa1t3q6csVG4MWkZQ1mlu4GSOMZn5xiX5D2A9wKui0GX_LFJPVpnn6b4wwCev255sP9Da6ILJythOlVMoZVeT29SaeojPPRBYxn,1,1,2
/docs/release-notes?mkt_tok=NzE0LVpVRi02ODMAAAGGb7bOMdysiKEFwZFSvZ1gF-rJGIPzKXFOrb2wL3pIoeWMK4yz_-cJn9wtHW0zyY3eCe-szNdghmD_CgG9Sz7Fin-pjvMGuMjV-ueykRxe,1,1,2
/docs/release-notes?mkt_tok=NzE0LVpVRi02ODMAAAGGb7bOMUqMJ9gpgRWL47f7x_DWKX5ircozl-M4IPRp0co74mQmw2xhYuFDHf-jyGkMHjIDziUnfLlwCJKKlMuEwXXuq-ckM3VM052e8Jdi,1,1,2
/docs/release-notes?mkt_tok=NzE0LVpVRi02ODMAAAGGb7bOMWjhhA4tphEVbO04Pok7lADJad2Z3OtbxmGb7ae4FnznPTKOwu9Hzo6OnfSJQLU_1MDoT-Civ_QqKp5LsW6igsm_TI6I8ahOEOHX,1,1,1
/docs/release-notes?mkt_tok=NzE0LVpVRi02ODMAAAGGb7t0k6Pdv0Pa0Rve2nxk6OOLSBepiDBMdcuYwbLo83bfYUridel4HIyNMsxqZQZFZA11ftoGxAm0-Q8u1oIKDf4XZzMSwD3a1qXaPkfe,1,1,1
/docs/release-notes?mkt_tok=NzE0LVpVRi02ODMAAAGGb8CPraC41CLeFkGNib4vl9QfQsmqGXD5UdbQG7Ra8A5Mo7WR-3TXSft32NORbmX1BGJXXvmYTvD3vHUqwRvedzrDj9OLW4pcb5D1J6Q9,1,1,1
/docs/release-notes?mkt_tok=NzE0LVpVRi02ODMAAAGGb8Wg9VbFcIVIlBF9Ff_KK2T9uaGLZZqT48qjEiyb_pGsmbc9Y57gTVmXw_4xNsdTN7beovYxjJ6AsTU-EYbkwxj7N5TXw2ACmQ6QRNPv,1,1,1
/docs/review-campaigns?mkt_tok=NzE0LVpVRi02ODMAAAGEuZzvlSgN0ni4I4AMjVOiTwWN0DtqHQUy872zX6stiM4HrSwcbv-9Hmw5Vzf5tdSbylIVg7ILGlAuTrf9nioFToCMI2N4HUJ7jkXowW0,1,1,1
/docs/salesforce-tasks,1,1,4
/docs/search?query=alternative&searchType=articles,1,1,8
/docs/search?query=auto generated&searchType=articles,1,0,1
/docs/search?query=badge advertising&searchType=articles,1,0,1
/docs/search?query=change category&searchType=articles,1,0,1
/docs/search?query=comparison&searchType=articles,1,0,1
/docs/search?query=cta&searchType=articles,1,0,1
/docs/search?query=delete user&searchType=articles,1,0,1
/docs/search?query=edit company details&searchType=articles,1,0,1
/docs/search?query=email address&searchType=articles,1,0,1
/docs/search?query=email link&searchType=articles,1,0,1
/docs/search?query=email&searchType=articles,1,0,1
/docs/search?query=export&searchType=articles,1,0,1
/docs/search?query=g2 salesforce hubspot&searchType=articles,1,0,1
/docs/search?query=gift card&searchType=articles,1,0,1
/docs/search?query=how do I change my product name&searchType=articles,1,0,1
/docs/search?query=how to change product category&searchType=articles,1,0,1
/docs/search?query=landing&searchType=articles,1,0,1
/docs/search?query=methodology&searchType=articles,1,0,1
/docs/search?query=nps&searchType=articles,1,0,1
/docs/search?query=png&searchType=articles,1,0,1
/docs/search?query=product name&searchType=articles,1,0,1
/docs/search?query=questions&searchType=articles,1,0,1
/docs/search?query=read&searchType=articles,1,0,1
/docs/search?query=review form&searchType=articles,1,0,1
/docs/search?query=reviews API&searchType=articles,1,0,1
/docs/search?query=seller&searchType=articles,1,0,1
/docs/search?query=udpate sellers details&searchType=articles,1,0,1
/docs/search?query=video reviews&searchType=articles,1,0,1
/docs/search?query=website&searchType=articles,1,0,1
/docs/search?query=You do not have permission to perform this action.&searchType=articles,1,0,1
/docs/track-your-prospects?amp=,1,1,1
/docs/troubleshooting-and-support-4,1,0,1
/g2/docs/about-g2-integrations,1,1,2
/g2/docs/basics-of-the-g2-linkedin-matched-audiences-integration,1,1,1
/g2/docs/basics-of-the-g2-marketo-integration,1,4,7
/g2/docs/buyer-intent,1,1,1
/g2/docs/custom-fields,1,0,11
/g2/docs/example-list-11-associated-companies-researching-your-product-category-recently,1,0,7
/g2/docs/example-list-2-companies-with-g2-buyer-intent-data-and-no-contacts,1,0,5
/g2/docs/example-list-5-associated-companies-assessing-product-alternatives,1,0,1
/g2/docs/example-list-5-companies-assessing-product-alternatives-recently,1,0,3
/g2/docs/example-list-6-associated-companies-researching-your-product-category,1,0,1
/g2/docs/example-list-6-companies-researching-your-product-category-recently,1,0,2
/g2/docs/example-notification-4-chatter-notification-for-salesforce-account-owners-when-a-g2-comparison-page-is-viewed,1,1,5
/g2/docs/example-report-3-g2-visiting-organizations-information,1,0,1
/g2/docs/example-smart-campaign-1-email-campaigns-to-target-specific-g2-buyer-intent-activity,1,0,1
/g2/docs/example-smart-campaign-2-notify-marketo-account-owners-about-first-time-g2-buyer-intent-activity,1,1,2
/g2/docs/example-workflow-5-perform-sales-qualification-based-on-g2-buyer-intent-activity,1,0,2
/g2/docs/example-workflow-6-assign-a-customer-profile-tier-based-on-g2-buyer-intent-activity,1,1,1
/g2/docs/example-workflow-7-use-a-contact-based-active-list-for-email-campaigns,1,1,4
/g2/docs/g2-api-information,1,1,1
/g2/docs/g2-pipedrive-implementation,1,0,4
/g2/docs/g2-reference-builder,1,0,1
/g2/docs/g2-review-attribution,1,0,1
/g2/docs/hubspot-webhook?_x_tr_sl=auto&_x_tr_tl=sk&_x_tr_hl=sk&_x_tr_pto=wapp,1,1,1
/g2/docs/insert-a-g2-badge-in-a-hubspot-email,1,0,2
/g2/docs/leads??_x_tr_sl=auto&_x_tr_tl=sk&_x_tr_hl=sk&_x_tr_pto=wapp,1,0,1
/g2/docs/linkedin-sales-navigator,1,0,1
/g2/docs/mapping-g2-buyer-intent-data-to-salesforce-accounts-and-leads,1,1,2
/g2/docs/overview-g2-hubspot-lists,1,0,1
/g2/docs/reference-pages,1,2,3
/g2/docs/references-from-reviews,1,1,1
/g2/docs/review-campaigns,1,0,3
/g2/docs/track-your-prospects,1,1,4
/g2/docs/troubleshooting-and-support-1,1,0,1
/g2/docs/vidyard,1,1,10
/g2/docs/widgets,1,0,1
/Reference Pages - Marketing Content.html,1,8,456
,"5,667","6,852","19,349"

Day Index,Users
8/1/22,173
8/2/22,217
8/3/22,195
8/4/22,226
8/5/22,154
8/6/22,14
8/7/22,37
8/8/22,181
8/9/22,217
8/10/22,181
8/11/22,150
8/12/22,113
8/13/22,13
8/14/22,21
8/15/22,170
8/16/22,230
8/17/22,257
8/18/22,283
8/19/22,158
8/20/22,13
8/21/22,30
8/22/22,224
8/23/22,248
8/24/22,260
8/25/22,241
8/26/22,158
8/27/22,13
8/28/22,26
8/29/22,193
8/30/22,234
8/31/22,208
,"4,838"
